# BetterQuesting Item Export
# Format: modid:item_name
# Use these IDs in DSL quest files

3DManeuverGear:3DManeuverGear                      # 3D Maneuver Gear
Calculator:EnrichedGoldPickaxe                     # Enriched Gold Pickaxe
Calculator:EnrichedGoldShovel                      # Enriched Gold Shovel
Calculator:EnrichedGoldSword                       # Enriched Gold Sword
Calculator:ExtractionChamber                       # Extraction Chamber
Calculator:FiddledewFruit                          # Fiddledew Fruit
Calculator:FiddledewPlant                          # Fiddledew Plant
Calculator:FireCoal                                # Fire Coal
Calculator:FireDiamondAxe                          # Fire Diamond Axe
Calculator:FireDiamondHoe                          # Fire Diamond Hoe
Calculator:FireDiamondPickaxe                      # Fire Diamond Pickaxe
Calculator:FireDiamondShovel                       # Fire Diamond Shovel
Calculator:FireDiamondSword                        # Fire Diamond Sword
Calculator:FlawlessBlock                           # Flawless Diamond Block
Calculator:FlawlessCalculator                      # Flawless Calculator
Calculator:FlawlessDiamond                         # Flawless Diamond
Calculator:FlawlessDiamondAxe                      # Flawless Diamond Axe
Calculator:FlawlessDiamondHoe                      # Flawless Diamond Hoe
Calculator:FlawlessDiamondPickaxe                  # Flawless Diamond Pickaxe
Calculator:FlawlessDiamondShovel                   # Flawless Diamond Shovel
Calculator:FlawlessDiamondSword                    # Flawless Diamond Sword
Calculator:FlawlessFireBlock                       # Fire Diamond Block
Calculator:FlawlessFireDiamond                     # Fire Diamond
Calculator:FlawlessGlass                           # Flawless Glass
Calculator:FlawlessGreenhouse                      # Flawless Greenhouse
Calculator:FluxController                          # Flux Controller
Calculator:FluxPlug                                # Flux Plug
Calculator:FluxPoint                               # Flux Point
Calculator:Grenade                                 # Grenade
Calculator:GrenadeCasing                           # Grenade Casing
Calculator:HealthModule                            # Health Module
Calculator:HealthProcessor                         # Health Processor
Calculator:HungerModule                            # Hunger Module
Calculator:HungerProcessor                         # Hunger Processor
Calculator:InfoCalculator                          # Info Calculator
Calculator:LanternBasic                            # Lantern
Calculator:LanternOff                              # Gas Lantern
Calculator:LanternOn                               # Gas Lantern
Calculator:Large Amethyst                          # Large Amethyst
Calculator:LargeTanzanite                          # Large Tanzanite
Calculator:LocatorModule                           # Locator Module
Calculator:MagneticFlux                            # Magnetic Flux
Calculator:NutritionModule                         # Nutrition Module
Calculator:ObsidianKey                             # Obsidian Key
Calculator:PCubeIdle                               # Power Cube
Calculator:Pear                                    # Pear
Calculator:PearFence                               # Pear Fence
Calculator:PearLeaf                                # Pear Leaves
Calculator:PearLog                                 # Pear Wood
Calculator:PearPlanks                              # Pear Planks
Calculator:PearSapling                             # Pear Sapling
Calculator:PearStairs                              # Pear Stairs
Calculator:PrecisionChamber                        # Precision Chamber
Calculator:ProcessingChamber                       # Processing Chamber
Calculator:PrunaePlant                             # Prunae Plant
Calculator:PrunaeSeeds                             # Prunae Seeds
Calculator:PurifiedCoal                            # Purified Coal
Calculator:RainSensor                              # Rain Sensor
Calculator:ReassemblyChamber                       # Reassembly Chamber
Calculator:RedstoneHoe                             # Redstone Hoe
Calculator:RedstoneIngot                           # Redstone Ingot
Calculator:RedstonePickaxe                         # Redstone Pickaxe
Calculator:RedstoneShovel                          # Redstone Shovel
Calculator:RedstoneSword                           # Redstone Sword
Calculator:RedstonedAxe                            # Redstone Axe
Calculator:ReinforcedAxe                           # Reinforced Axe
Calculator:ReinforcedBlock                         # Reinforced Iron Block
Calculator:ReinforcedDirtBrickFence                # Reinforced Dirt Brick Fence
Calculator:ReinforcedDirtBrickStairs               # Reinforced Dirt Brick Stairs
Calculator:ReinforcedDirtFence                     # Reinforced Dirt Fence
Calculator:ReinforcedDirtStairs                    # Reinforced Dirt Stairs
Calculator:ReinforcedFurnace                       # Reinforced Furnace
Calculator:ReinforcedHoe                           # Reinforced Hoe
Calculator:ReinforcedIronAxe                       # Reinforced Iron Axe
Calculator:ReinforcedIronHoe                       # Reinforced Iron Hoe
Calculator:ReinforcedIronIngot                     # Reinforced Iron Ingot
Calculator:ReinforcedIronPickaxe                   # Reinforced Iron Pickaxe
Calculator:ReinforcedIronShovel                    # Reinforced Iron Shovel
Calculator:ReinforcedIronSword                     # Reinforced Iron Sword
Calculator:ReinforcedPickaxe                       # Reinforced Pickaxe
Calculator:ReinforcedShovel                        # Reinforced Shovel
Calculator:ReinforcedStoneBrickFence               # Reinforced Stone Brick Fence
Calculator:ReinforcedStoneBrickStairs              # Reinforced Stone Brick Stairs
Calculator:ReinforcedStoneFence                    # Reinforced Stone Fence
Calculator:ReinforcedStoneStairs                   # Reinforced Stone Stairs
Calculator:ReinforcedSword                         # Reinforced Sword
Calculator:ResearchChamber                         # Research Chamber
Calculator:RestorationChamber                      # Restoration Chamber
Calculator:RottenPear                              # Rotten Pear
Calculator:Scarecrow                               # Scarecrow
Calculator:ScarecrowBlock                          # Scarecrow
Calculator:ScientificCalculator                    # Scientific Calculator
Calculator:Shard Amethyst                          # Amethyst Shard
Calculator:ShardTanzanite                          # Tanzanite Shard
Calculator:Sickle                                  # Sickle
Calculator:Small Amethyst                          # Amethyst
Calculator:SmallStone                              # Small Stone
Calculator:SmallTanzanite                          # Tanzanite
Calculator:Soil                                    # Soil
Calculator:SpeedUpgrade                            # Item Speed Upgrade.name
Calculator:StableGlass                             # Stable Glass
Calculator:StoneAssimilator                        # Stone Assimilator
Calculator:StoneSeperatorIdle                      # Stone Separator
Calculator:StorageChamber                          # Storage Chamber
Calculator:StorageModule                           # Storage Module
Calculator:TanzaniteBlock                          # Tanzanite Block
Calculator:TanzaniteFence                          # Tanzanite Fence
Calculator:TanzaniteLeaf                           # Tanzanite Leaves
Calculator:TanzaniteLog                            # Tanzanite Wood
Calculator:TanzanitePlanks                         # Tanzanite Planks
Calculator:TanzaniteSapling                        # Tanzanite Sapling
Calculator:TanzaniteStairs                         # Tanzanite Stairs
Calculator:TerrainModule                           # Basic Terrain Module
Calculator:Transmitter                             # Transmitter
Calculator:TransmitterBlock                        # Transmitter
Calculator:VoidUpgrade                             # Void Upgrade
Calculator:WeakenedBlock                           # Weakened Diamond Block
Calculator:WeakenedDiamond                         # Weakened Diamond
Calculator:WeakenedDiamondAxe                      # Weakened Diamond Axe
Calculator:WeakenedDiamondHoe                      # Weakened Diamond Hoe
Calculator:WeakenedDiamondPickaxe                  # Weakened Diamond Pickaxe
Calculator:WeakenedDiamondShovel                   # Weakened Diamond Shovel
Calculator:WeakenedDiamondSword                    # Weakened Diamond Sword
Calculator:WeatherController                       # Weather Controller
Calculator:WeatherStation                          # Weather Station
Calculator:WeatherStationBlock                     # Weather Station
Calculator:Wrench                                  # Wrench
Calculator:atomiccalculatorBlock                   # Atomic Calculator
Calculator:calculatorScreen                        # tile.calculatorScreen.name
Calculator:dynamiccalculatorBlock                  # Dynamic Calculator
Calculator:glowstoneextractor                      # Glowstone Extractor
Calculator:purifiedobsidianBlock                   # Purified Obsidian
Calculator:redstoneextractor                       # Redstone Extractor
Calculator:reinforceddirtBlock                     # Reinforced Dirt
Calculator:reinforceddirtBrick                     # Reinforced Dirt Bricks
Calculator:reinforcedstoneBlock                    # Reinforced Stone
Calculator:reinforcedstoneBrick                    # Reinforced Stone Bricks
Calculator:stablestoneBlock                        # Stable Stone
Calculator:stablestonerimmedBlock                  # Rimmed Stable Stone
Calculator:stablestonerimmedblackBlock             # Rimmed Black Stable Stone
Calculator:starchextractor                         # Starch Extractor
CarpentersBlocks:blockCarpentersBarrier            # Carpenter's Barrier
CarpentersBlocks:blockCarpentersBed                # Carpenter's Bed
CarpentersBlocks:blockCarpentersBlock              # Carpenter's Block
CarpentersBlocks:blockCarpentersButton             # Carpenter's Button
CarpentersBlocks:blockCarpentersCollapsibleBlock   # Carpenter's Collapsible Block
CarpentersBlocks:blockCarpentersDaylightSensor     # Carpenter's Daylight Sensor
CarpentersBlocks:blockCarpentersDoor               # Carpenter's Door
CarpentersBlocks:blockCarpentersFlowerPot          # Carpenter's Flower Pot
CarpentersBlocks:blockCarpentersGarageDoor         # Carpenter's Garage Door
CarpentersBlocks:blockCarpentersGate               # Carpenter's Gate
CarpentersBlocks:blockCarpentersHatch              # Carpenter's Hatch
CarpentersBlocks:blockCarpentersLadder             # Carpenter's Ladder
CarpentersBlocks:blockCarpentersLever              # Carpenter's Lever
CarpentersBlocks:blockCarpentersPressurePlate      # Carpenter's Pressure Plate
CarpentersBlocks:blockCarpentersSafe               # Carpenter's Safe
CarpentersBlocks:blockCarpentersSlope              # Carpenter's Wedge Slope
CarpentersBlocks:blockCarpentersStairs             # Carpenter's Stairs
CarpentersBlocks:blockCarpentersTorch              # Carpenter's Torch
CarpentersBlocks:itemCarpentersBed                 # Carpenter's Bed
CarpentersBlocks:itemCarpentersChisel              # Carpenter's Chisel
CarpentersBlocks:itemCarpentersDoor                # Carpenter's Door
CarpentersBlocks:itemCarpentersHammer              # Carpenter's Hammer
CarpentersBlocks:itemCarpentersTile                # Carpenter's Tile
CastleDefenders:BlockArcher                        # Archer Spawner
CastleDefenders:BlockArcher2                       # Archer Spawner - Level 2
CastleDefenders:BlockEArcher                       # Enemy Archer Spawner
CastleDefenders:BlockEKnight                       # Enemy Knight Spawner
CastleDefenders:BlockEMage                         # Enemy Mage Spawner
CastleDefenders:BlockHealer                        # Mage Healer
CastleDefenders:BlockKnight                        # Knight Spawner
CastleDefenders:BlockKnight2                       # Knight Spawner - Level 2
CastleDefenders:BlockMage                          # Mage Spawner
CastleDefenders:BlockMerc                          # Mercenary Spawner
CastleDefenders:BlockMercArcher                    # Mercenary Archer Spawner
CastleDefenders:Medallion                          # Medallion
ChatFuel:rfBox                                     # RF Box
ChestTransporter:chesttransporter                  # Wooden Chest Transporter
ChestTransporter:chesttransporter_diamond          # Diamond Chest Transporter
ChestTransporter:chesttransporter_gold             # Golden Chest Transporter
ChestTransporter:chesttransporter_iron             # Iron Chest Transporter
ChickenChunks:chickenChunkLoader                   # Chunk Loader
ControlCraft:Antenna                               # Antenna
ControlCraft:ControlCenter                         # Control Center
ControlCraft:ControlCenterRangeUpgrade             # Range Upgrade
ControlCraft:CreativeTabIcon                       # CreativeTabIcon
ControlCraft:WirelessReceiver                      # Wireless Receiver
ControlCraft:WirelessTransmitter                   # Wireless Transmitter
CraftHeraldry:blockHeraldry                        # tile.blockHeraldry.name
CraftHeraldry:itemHeraldry                         # Heraldic Scroll
CreeperChicks:creeper_treat                        # §2Creeper Treat
CreeperChicks:egg_item                             # Creeper Chick Egg
CrystalWing:crystalwing.crystalWing                # Crystal Wing
CrystalWing:crystalwing.crystalWingBurned          # Burned Wing
CrystalWing:crystalwing.crystalWingBurning         # Burning Wing
CrystalWing:crystalwing.enderScepter               # Ender Scepter
CulinaireMod:ItemBaguette                          # Bread Baguette
CulinaireMod:ItemButter                            # Butter
CulinaireMod:ItemCheese                            # Cheese
CulinaireMod:ItemChocolate                         # Chocolate
CulinaireMod:ItemChocolateBread                    # Chocolate Bread
CulinaireMod:ItemChocolatePancake                  # Chocolate Pancake
CulinaireMod:ItemPancake                           # Pancake
CulinaireMod:ItemWhiteSausage                      # White Sausage
Cyan Warrior Swords Mod:BeastSword                 # Beast Sword
Cyan Warrior Swords Mod:BlizzardSword              # Blizzard Sword
Cyan Warrior Swords Mod:CyanSword                  # Cyan Sword
Cyan Warrior Swords Mod:DarkNetherSword            # Dark Nether Sword
Cyan Warrior Swords Mod:DarkSword                  # Dark Sword
Cyan Warrior Swords Mod:EarthSword                 # Earth Sword
Cyan Warrior Swords Mod:EnderFireSword             # Ender Fire Sword
Cyan Warrior Swords Mod:EnderPortalSword           # Ender Portal Sword
Cyan Warrior Swords Mod:EnderSword                 # Ender Sword
Cyan Warrior Swords Mod:EnderThunderSword          # Ender Thunder Sword
Cyan Warrior Swords Mod:EnderWindSword             # Ender Wind Sword
Cyan Warrior Swords Mod:EssenceBeast               # Beast Essence
Cyan Warrior Swords Mod:EssenceDark                # Dark Essence
Cyan Warrior Swords Mod:EssenceEarth               # Earth Essence
Cyan Warrior Swords Mod:EssenceEnder               # Ender Essence
Cyan Warrior Swords Mod:EssenceFire                # Fire Essence
Cyan Warrior Swords Mod:EssenceLight               # Light Essence
Cyan Warrior Swords Mod:EssenceMixed               # Mixed Essence
Cyan Warrior Swords Mod:EssenceThunder             # Thunder Essence
Cyan Warrior Swords Mod:EssenceWater               # Water Essence
Cyan Warrior Swords Mod:EssenceWind                # Wind Essence
Cyan Warrior Swords Mod:FireSword                  # Fire Sword
Cyan Warrior Swords Mod:IceSword                   # Ice Sword
Cyan Warrior Swords Mod:LightNetherSword           # Light Nether Sword
Cyan Warrior Swords Mod:LightSword                 # Glowstone Sword
Cyan Warrior Swords Mod:MeteorSword                # Meteor Sword
Cyan Warrior Swords Mod:MeteoricThunderstormSword  # Meteoric Thunderstorm Sword
Cyan Warrior Swords Mod:PeacefulNatureSword        # Peaceful Nature Sword
Cyan Warrior Swords Mod:SteamSword                 # Steam Sword
Cyan Warrior Swords Mod:SwordHandle                # Elemental Sword Handle
Cyan Warrior Swords Mod:ThunderShockSword          # ThunderShock Sword
Cyan Warrior Swords Mod:ThunderStormSword          # Thunderstorm Sword
Cyan Warrior Swords Mod:ThunderSword               # Thunder Sword
Cyan Warrior Swords Mod:ThunderZeusSword           # Thunder Zeus Sword
Cyan Warrior Swords Mod:TimeSword                  # Time Sword
Cyan Warrior Swords Mod:TriEnderSword              # Tri-Ender Sword
Cyan Warrior Swords Mod:WaterSword                 # Water Sword
Cyan Warrior Swords Mod:WildNatureSword            # Wild Nature Sword
Cyan Warrior Swords Mod:WindBlastSword             # WindBlast Sword
Cyan Warrior Swords Mod:WindSword                  # Wind Sword
Cyan Warrior Swords Mod:WindWhirlSword             # WindWhirl Sword
Cyan Warrior Swords Mod:WolfSword                  # Wolf Sword
DawnofthePlanetoftheApes:ALZblock                  # Alz-113 Block
DawnofthePlanetoftheApes:ALZitem                   # Alz-113
DawnofthePlanetoftheApes:DiamondSpear              # Diamond Spear
DawnofthePlanetoftheApes:Spear                     # Spear
DawnofthePlanetoftheApes:Tranquilizer              # Tranquilizer
DawnofthePlanetoftheApes:VirusTippedDiamondSpear   # Virus-Tipped Diamond Spear
DawnofthePlanetoftheApes:VirusTippedSpear          # Virus-Tipped Spear
DawnofthePlanetoftheApes:apeWorld_portal           # tile.apeWorld_portal.name
DawnofthePlanetoftheApes:apeWorld_trigger          # Genesis Key
DeepSeaDiving:AirTank                              # Air Tank
DeepSeaDiving:EmptyHarpoonGun                      # Harpoon Gun
DeepSeaDiving:Flippers                             # Scuba Gear Boots
DeepSeaDiving:Harpoon                              # Harpoon
DeepSeaDiving:HarpoonGun                           # Harpoon Gun (Loaded)
DeepSeaDiving:Scuba Gear                           # item.Scuba Gear.name
DiseaseCraft:chemicalExtractor                     # Chemical Extractor
DiseaseCraft:medicalJournal                        # Medical Journal
DiseaseCraft:medication                            # Medication
DiseaseCraft:userMedicalJournal                    # Medical Journal
DisenchanterMod:BlockDisenchantmentTable           # Disenchantment Table
DonutCraft:BaconAxe                                # Bacon Axe
DonutCraft:BaconBoots                              # Bacon Boots
DonutCraft:BaconChest                              # Bacon Chestplate
DonutCraft:BaconHelm                               # Bacon Helmet
DonutCraft:BaconHoe                                # Bacon Hoe
DonutCraft:BaconLeg                                # Bacon Leggings
DonutCraft:BaconPick                               # Bacon Pick
DonutCraft:BaconSpade                              # Bacon Shovel
DonutCraft:BaconSword                              # Bacon Sword
DonutCraft:Coco Sprinkled Donut                    # Coco Sprinkled Donut
DonutCraft:CocoDonut                               # Coco Donut
DonutCraft:CocoDough                               # Coco Dough
DonutCraft:ColdCoffee                              # Cold Coffee
DonutCraft:CookedBacon                             # Cooked Bacon
DonutCraft:DonutAxe                                # Donut Axe
DonutCraft:DonutBlock                              # Donut Gem Block
DonutCraft:DonutBoots                              # Donut Boots
DonutCraft:DonutChest                              # Donut Chestplate
DonutCraft:DonutGem                                # Donut Gem
DonutCraft:DonutGemDust                            # Donut Dust
DonutCraft:DonutGemPick                            # Donut Gem Pickaxe
DonutCraft:DonutGemSword                           # Donut Gem Sword
DonutCraft:DonutHammer                             # Hammer of the Donut
DonutCraft:DonutHelm                               # Donut Helmet
DonutCraft:DonutHoe                                # Donut Hoe
DonutCraft:DonutLeg                                # Donut Leggings
DonutCraft:DonutOre                                # Donut Ore
DonutCraft:DonutPick                               # Donut Pickaxe
DonutCraft:DonutSpade                              # Donut Shovel
DonutCraft:DonutSword                              # Donut Sword
DonutCraft:GodDonut                                # God Donut
DonutCraft:MTNDew                                  # MTN Dew
DonutCraft:PlainDonut                              # Plain Donut
DonutCraft:PlainDough                              # Plain Dough
DonutCraft:RawBacon                                # Raw Bacon
DonutCraft:Sprinkled Donut                         # Sprinkle Donut
DonutCraft:Sprinkles                               # Sprinkles
DonutCraft:WarmCoffee                              # Warm Coffee
DraconicEvolution:adminSpawnEgg                    # Spawn 
DraconicEvolution:awakenedCore                     # Awakened Core
DraconicEvolution:cKeyStone                        # Creative Key Stone
DraconicEvolution:chaosCrystal                     # Chaos Crystal
DraconicEvolution:chaosFragment                    # Tiny Chaos Fragment
DraconicEvolution:chaosShard                       # Chaos Shard
DraconicEvolution:chaosShardAtmos                  # Chaos Shard
DraconicEvolution:chaoticCore                      # Chaotic Core
DraconicEvolution:creativeStructureSpawner         # Spawn Comet
DraconicEvolution:customSpawner                    # Stabilized Mob Spawner
DraconicEvolution:dezilsMarshmallow                # Dezil's Marshmallow
DraconicEvolution:dislocatorInhibitor              # Dislocator Inhibitor
DraconicEvolution:dislocatorReceptacle             # Dislocator Receptacle
DraconicEvolution:dissEnchanter                    # Disenchanter
DraconicEvolution:draconicAxe                      # Draconic Axe
DraconicEvolution:draconicBlock                    # Awakened Draconium Block
DraconicEvolution:draconicBoots                    # Draconic Boots
DraconicEvolution:draconicBow                      # Draconic Bow
DraconicEvolution:draconicChest                    # Draconic Chestplate
DraconicEvolution:draconicCore                     # Draconic Core
DraconicEvolution:draconicDistructionStaff         # Draconic Staff of Power
DraconicEvolution:draconicHelm                     # Draconic Helm
DraconicEvolution:draconicHoe                      # Draconic Hoe
DraconicEvolution:draconicIngot                    # Awakened Draconium Ingot
DraconicEvolution:draconicLeggs                    # Draconic Leggings
DraconicEvolution:draconicPickaxe                  # Draconic Pickaxe
DraconicEvolution:draconicShovel                   # Draconic Shovel
DraconicEvolution:draconicSword                    # Draconic Sword
DraconicEvolution:draconium                        # Draconium Block
DraconicEvolution:draconiumBlend                   # Draconium Blend (Depreciated)
DraconicEvolution:draconiumChest                   # Draconic Chest
DraconicEvolution:draconiumDust                    # Draconium Dust
DraconicEvolution:draconiumEnergyCore              # Wyvern Energy Core
DraconicEvolution:draconiumFluxCapacitor           # Wyvern Flux Capacitor
DraconicEvolution:draconiumIngot                   # Draconium Ingot
DraconicEvolution:draconiumOre                     # Draconium Ore
DraconicEvolution:dragonHeart                      # Dragon Heart
DraconicEvolution:earth                            # Earth
DraconicEvolution:enderArrow                       # Ender Arrow
DraconicEvolution:energyCrystal                    # Energy Relay
DraconicEvolution:energyInfuser                    # Energy Infuser
DraconicEvolution:energyPylon                      # Energy Pylon
DraconicEvolution:energyStorageCore                # Energy Core
DraconicEvolution:flowGate                         # Flux Gate
DraconicEvolution:generator                        # Generator
DraconicEvolution:grinder                          # Mob Grinder
DraconicEvolution:infoTablet                       # Draconic Evolution Information Tablet
DraconicEvolution:infusedObsidian                  # Draconium Infused Obsidian
DraconicEvolution:invisibleMultiblock              # Energy Core
DraconicEvolution:key                              # Key
DraconicEvolution:longRangeDislocator              # Long Range Dislocator
DraconicEvolution:magnet                           # Item Dislocator
DraconicEvolution:mobSoul                          # Mob Soul
DraconicEvolution:nugget                           # Draconium Nugget
DraconicEvolution:particleGenerator                # Particle Generator
DraconicEvolution:placedItem                       # Placed Item
DraconicEvolution:playerDetector                   # Player Detector
DraconicEvolution:playerDetectorAdvanced           # Advanced Player Detector
DraconicEvolution:portal                           # Portal
DraconicEvolution:potentiometer                    # Potentiometer
DraconicEvolution:rainSensor                       # Rain Sensor
DraconicEvolution:reactorCore                      # Draconic Reactor Core
DraconicEvolution:reactorCraftingPart              # Reactor Stabilizer Frame
DraconicEvolution:reactorEnergyInjector            # Reactor Energy Injector
DraconicEvolution:reactorStabilizer                # Reactor Stabilizer
DraconicEvolution:safetyFlame                      # Safety Flame
DraconicEvolution:safetyMatch                      # Box of Safety Matches
DraconicEvolution:sunDial                          # Sun Dial
DraconicEvolution:sunFocus                         # Solar Focus
DraconicEvolution:tclogo                           # TCLogo
DraconicEvolution:teleporterMKI                    # Charm of Dislocation
DraconicEvolution:teleporterMKII                   # Enhanced Charm of Dislocation
DraconicEvolution:teleporterStand                  # Dislocator Pedestal
DraconicEvolution:upgradeModifier                  # Upgrade Modifier
DraconicEvolution:weatherController                # Weather Controller
DraconicEvolution:wrench                           # Crystal Binder
DraconicEvolution:wyvernBoots                      # Wyvern Boots
DraconicEvolution:wyvernBow                        # Bow of the Wyvern
DraconicEvolution:wyvernChest                      # Wyvern Chestplate
DraconicEvolution:wyvernCore                       # Wyvern Core
DraconicEvolution:wyvernHelm                       # Wyvern Helm
DraconicEvolution:wyvernLeggs                      # Wyvern Leggings
DraconicEvolution:wyvernPickaxe                    # Pickaxe of the Wyvern
DraconicEvolution:wyvernShovel                     # Shovel of the Wyvern
DraconicEvolution:wyvernSword                      # Sword of the Wyvern
DraconicEvolution:xRayBlock                        # Distortion Flame
DungeonTools:dt_antispawner                        # Antispawner
DungeonTools:dt_charm                              # Charm
DungeonTools:dt_chatdetector                       # Chat Detector
DungeonTools:dt_destroyer                          # Destroyer
DungeonTools:dt_dispenser                          # Dispenser
DungeonTools:dt_earthquaker                        # Earthquaker
DungeonTools:dt_entitydetector                     # Entity Detector
DungeonTools:dt_entitysaver                        # Entity Saver
DungeonTools:dt_fade                               # Fade Block
DungeonTools:dt_legendaryCharm                     # Legendary Charm
DungeonTools:dt_particle                           # Particle
DungeonTools:dt_particleEmitter                    # Particle Emitter
DungeonTools:dt_placer                             # Placer
DungeonTools:dt_spawner                            # Spawner
DyeableBeds:dyeablebeds_blackBed                   # tile.blockBedBlack.name
DyeableBeds:dyeablebeds_blueBed                    # tile.blockBedBlue.name
DyeableBeds:dyeablebeds_brownBed                   # tile.blockBedBrown.name
DyeableBeds:dyeablebeds_cyanBed                    # tile.blockBedCyan.name
DyeableBeds:dyeablebeds_grayBed                    # tile.blockBedGray.name
DyeableBeds:dyeablebeds_greenBed                   # tile.blockBedGreen.name
DyeableBeds:dyeablebeds_itemBlackBed               # Black Bed
DyeableBeds:dyeablebeds_itemBlueBed                # Blue Bed
DyeableBeds:dyeablebeds_itemBrownBed               # Brown Bed
DyeableBeds:dyeablebeds_itemCyanBed                # Cyan Bed
DyeableBeds:dyeablebeds_itemGrayBed                # Gray Bed
DyeableBeds:dyeablebeds_itemGreenBed               # Green Bed
DyeableBeds:dyeablebeds_itemLightBlueBed           # Light Blue Bed
DyeableBeds:dyeablebeds_itemLightGrayBed           # Light Gray Bed
DyeableBeds:dyeablebeds_itemLimeBed                # Lime Bed
DyeableBeds:dyeablebeds_itemMagentaBed             # Magenta Bed
DyeableBeds:dyeablebeds_itemOrangeBed              # Orange Bed
DyeableBeds:dyeablebeds_itemPinkBed                # Pink Bed
DyeableBeds:dyeablebeds_itemPurpleBed              # Purple Bed
DyeableBeds:dyeablebeds_itemRedBed                 # Red Bed
DyeableBeds:dyeablebeds_itemWhiteBed               # White Bed
DyeableBeds:dyeablebeds_itemYellowBed              # Yellow Bed
DyeableBeds:dyeablebeds_lightblueBed               # tile.blockBedLightBlue.name
DyeableBeds:dyeablebeds_lightgrayBed               # tile.blockBedLightGray.name
DyeableBeds:dyeablebeds_limeBed                    # tile.blockBedLime.name
DyeableBeds:dyeablebeds_magentaBed                 # tile.blockBedMagenta.name
DyeableBeds:dyeablebeds_orangeBed                  # tile.blockBedOrange.name
DyeableBeds:dyeablebeds_pinkBed                    # tile.blockBedPink.name
DyeableBeds:dyeablebeds_purpleBed                  # tile.blockBedPurple.name
DyeableBeds:dyeablebeds_redBed                     # tile.blockBedRed.name
DyeableBeds:dyeablebeds_whiteBed                   # tile.blockBedWhite.name
DyeableBeds:dyeablebeds_yellowBed                  # tile.blockBedYellow.name
DynamicCraft:item.aquaRune                         # Aqua Rune
DynamicCraft:item.aquaWand                         # item.aquaWand.name
DynamicCraft:item.baseRune                         # Base Rune
DynamicCraft:item.dynamicPearl                     # Dynamic Pearl
DynamicCraft:item.dynamicShard                     # Dynamic Pearl Shard
DynamicCraft:item.earthRune                        # Earth Rune
DynamicCraft:item.fireRune                         # Fire Rune
DynamicCraft:item.fireWand                         # Fire Wand
DynamicCraft:item.magicCollector                   # Magic Collector
DynamicCraft:tile.blockDynamic                     # Dynamic Block
DynamicCraft:tile.blockInfusionAltar               # Infusion Altar
DynamicCraft:tile.oreDynamic                       # Dynamic Ore
EggyGoodness:diamondGoldenEgg                      # Diamond Fabergé Egg
EggyGoodness:eggSandwich                           # Egg Sandwich
EggyGoodness:eggnog                                # Eggnog
EggyGoodness:emeraldGoldenEgg                      # Emerald Fabergé Egg
EggyGoodness:friedDoubleYolkEgg                    # Fried Double-Yolk Egg
EggyGoodness:friedEgg                              # Fried Egg
EggyGoodness:goldDust                              # Gold Dust
EggyGoodness:goldenEgg                             # Golden Egg
EggyGoodness:goldenFeather                         # Golden Feather
EggyGoodness:hardBoiledEgg                         # Hard Boiled Egg
EggyGoodness:rawDoubleYolkEgg                      # Raw Double-Yolk Egg
EggyGoodness:rawEgg                                # Raw Egg
EggyGoodness:rawScrambledEgg                       # Raw Scrambled Egg
EggyGoodness:scrambledEgg                          # Scrambled Egg
EggyGoodness:softBoiledEgg                         # Soft Boiled Egg
EggyGoodness:unpeeledHardBoiledDiamondGoldenEgg    # Unpeeled Hard Boiled Fabergé Egg
EggyGoodness:unpeeledHardBoiledEgg                 # Unpeeled Hard Boiled Egg
EggyGoodness:unpeeledHardBoiledEmeraldGoldenEgg    # Unpeeled Hard Boiled Fabergé Egg
EggyGoodness:unpeeledHardBoiledGoldenEgg           # Unpeeled Hard Boiled Golden Egg
EggyGoodness:unpeeledSoftBoiledDiamondGoldenEgg    # Unpeeled Soft Boiled Fabergé Egg
EggyGoodness:unpeeledSoftBoiledEgg                 # Unpeeled Soft Boiled Egg
EggyGoodness:unpeeledSoftBoiledEmeraldGoldenEgg    # Unpeeled Soft Boiled Fabergé Egg
EggyGoodness:unpeeledSoftBoiledGoldenEgg           # Unpeeled Soft Boiled Golden Egg
Enchiridion2:book                                  # book
Enchiridion:items                                  # item.guide.name
EnderIO:blockAlloySmelter                          # Alloy Smelter
EnderIO:blockAttractor                             # Attractor Obelisk
EnderIO:blockBuffer                                # Item Buffer
EnderIO:blockCapBank                               # Creative Capacitor Bank
EnderIO:blockCloud_seed                            # Cloud Seed
EnderIO:blockCloud_seed_concentrated               # Concentrated Cloud Seed
EnderIO:blockCombustionGenerator                   # Combustion Generator
EnderIO:blockConduitBundle                         # Conduit Connector
EnderIO:blockConduitFacade                         # Conduit Facade
EnderIO:blockCrafter                               # Crafter
EnderIO:blockDarkIronBars                          # Dark Steel Bars
EnderIO:blockDarkSteelAnvil                        # Dark Steel Anvil
EnderIO:blockDarkSteelLadder                       # Dark Steel Ladder
EnderIO:blockDarkSteelPressurePlate                # Dark Pressure Plate
EnderIO:blockElectricLight                         # Powered Light
EnderIO:blockEnchanter                             # Enchanter
EnderIO:blockEndSteelBars                          # End Steel Bars
EnderIO:blockEnderGenerator                        # Ender Generator
EnderIO:blockEnderIo                               # Ender IO
EnderIO:blockEnderRail                             # Ender Rail
EnderIO:blockEnder_distillation                    # Dew of the Void
EnderIO:blockEndermanSkull                         # Enderman Head
